"ITP","ITI","ITI_factor","Ultimate","Delta","Censored"
547403.7052,547403.7052,547403.7052,547403.71,1,0
3974.19745,3974.19745,3974.19745,95153.89,1,0
394482.82147,394482.82147,394482.82147,394482.82,1,0
231973.64524,231973.64524,231973.64524,231973.65,1,0
173754.68308,173754.68308,173754.68308,173754.68,1,0
161129.0301,161129.0301,161129.0301,161129.03,1,0
42904.01567,42904.01567,42904.01567,42904.02,1,0
215072.48312,215072.48312,215072.48312,215072.48,1,0
1621576.45906,1621576.45906,1621576.45906,1621576.46,1,0
429959.67685,429959.67685,429959.67685,429959.68,1,0
279572.23576,279572.23576,279572.23576,279572.24,1,0
181935.12261,181935.12261,181935.12261,181935.12,1,0
247636.65871,247636.65871,247636.65871,248206.38,1,0
103623.51862,103623.51862,103623.51862,104478.97,1,0
1200514.1358,1200514.1358,1200514.1358,1200514.14,1,0
60629.45578,60629.45578,60629.45578,60629.46,1,0
311343.30354,311343.30354,311343.30354,311343.3,1,0
373113.93411,373221.29805,856618.747603634,386712.82,0,1
342674.52551,342674.52551,342674.52551,342674.53,1,0
315930.51445,332284.46682,762660.398274904,344296.17,0,1
72818.7263,78169.60652,179415.137313146,80995.35,0,1
175560.82161,518936.67608,1191065.16126443,537695.64,0,1
261000.00586,261000.00586,261000.00586,261000.01,1,0
88807.29494,88807.29494,88807.29494,88807.29,1,0
359341.91132,359341.91132,359341.91132,359341.91,1,0
352839.46626,352839.46626,352839.46626,352839.47,1,0
268233.21838,268233.21838,268233.21838,294433.48,1,0
171384.01802,171384.01802,171384.01802,171384.02,1,0
149121.58561,149121.58561,149121.58561,149121.59,1,0
76356.54128,215733.98352,495153.346671249,223532.52,0,1
125891.14606,125891.14606,125891.14606,125891.15,1,0
744.62087,744.62087,744.62087,744.62,1,0
265045.20204,265045.20204,265045.20204,265045.2,1,0
197428.43179,197428.43179,197428.43179,197428.43,1,0
364921.37283,364921.37283,364921.37283,364921.37,1,0
490383.06314,520384.35759,1194387.88461517,539195.65,0,1
342516.94295,342516.94295,342516.94295,342854.62,1,0
226953.51522,226953.51522,226953.51522,226953.52,1,0
167389.04045,167389.04045,167389.04045,167389.04,1,0
239570.50982,239570.50982,239570.50982,239570.51,1,0
57423.39005,319048.06488,731947.079133434,334149.6,0,1
287844.58736,287844.58736,287844.58736,287844.59,1,0
82604.2967,82604.2967,82604.2967,82604.3,1,0
49376.08979,49376.08979,49376.08979,49376.09,1,0
106088.49344,106088.49344,106088.49344,106088.49,1,0
168798.49188,201678.69843,462683.057785645,211224.78,0,1
56201.22609,222057.53308,509435.350434155,232568.2,0,1
816039.20534,816039.20534,816039.20534,816039.21,1,0
68927.38291,68927.38291,68927.38291,68927.38,1,0
304045.75258,304045.75258,304045.75258,504951.86,1,0
177803.2094,177803.2094,177803.2094,177803.21,1,0
517594.76004,517594.76004,517594.76004,517594.76,1,0
2055839.6183,3021299.19004,6931341.5775449,3164306.63,0,1
516142.81594,516142.81594,516142.81594,516142.82,1,0
176134.80575,176134.80575,176134.80575,176134.81,1,0
217839.90189,217839.90189,217839.90189,217839.9,1,0
130510.12658,130510.12658,130510.12658,130510.13,1,0
