"ITP","ITI","ITI_factor","Ultimate","Delta","Censored"
186607.02189,984294.60003,195942361.817753,1075816.15,0,1
166220.60676,166220.60676,166220.60676,166220.61,1,0
192476.07762,192476.07762,192476.07762,192476.08,1,0
69098.2618,69098.2618,69098.2618,69098.26,1,0
90841.40258,401596.06039,79945252.7394983,438937.21,0,1
91078.2703,400852.55893,79797244.7832595,438124.58,0,1
49855.39139,105049.518,20912083.2971239,114817.22,0,1
184305.4572,627015.17417,124819169.097032,685316.22,0,1
242618.34214,242618.34214,242618.34214,242618.34,1,0
22839.31196,22839.31196,22839.31196,22839.31,1,0
153146.82454,155660.25423,30987102.6967419,170133.84,0,1
2875.31094,2875.31094,2875.31094,2875.31,1,0
6062.49771,11105.14828,2210688.73308178,12137.73,0,1
344797.81293,535032.85873,106508358.357818,584781.21,0,1
298229.61913,298229.61913,298229.61913,298229.62,1,0
3105.599,3105.599,3105.599,3105.6,1,0
58895.84271,909265.4337,181006394.419914,993810.63,0,1
202058.69284,836322.01925,166485635.181828,914084.8,0,1
144524.83952,153254.73094,30508238.0206218,167504.64,0,1
121060.45996,121060.45996,121060.45996,121060.46,1,0
142273.28024,142273.28024,142273.28024,142341.71,1,0
13280.38352,95057.648,18923013.5544714,103896.29,0,1
322126.94024,322126.94024,322126.94024,322126.94,1,0
93231.1347,309741.39033,61659852.2151042,338541.72,0,1
425088.07451,425088.07451,425088.07451,425088.07,1,0
62217.25452,329727.7622,65638515.6236572,360386.47,0,1
87866.08083,87866.08083,87866.08083,87866.08,1,0
166577.22427,179736.54207,35779940.8399461,196448.78,0,1
5013.70008,21433.89682,4266820.48823678,23426.86,0,1
233564.7315,849378.69436,169084812.052718,928355.51,0,1
25098.76683,565279.55068,112529531.54893,617840.3,0,1
144697.22658,144697.22658,144697.22658,144697.23,1,0
78596.65738,78596.65738,78596.65738,78596.66,1,0
270498.98874,270498.98874,270498.98874,270498.99,1,0
83714.31607,343185.7965,68317590.5937789,375095.85,0,1
670923.86985,1320304.62054,262831479.172613,1443069.01,0,1
55425.73061,55425.73061,55425.73061,55425.73,1,0
102904.5492,102904.5492,102904.5492,102904.55,1,0
127172.96308,128727.07851,25625547.2623542,140696.36,0,1
159511.98655,487884.33902,97122558.3057742,533248.74,0,1
43794.20961,99708.15091,19848783.6682137,108979.2,0,1
266784.92314,455721.09366,90719859.0942066,518387.53,0,1
3887.06002,177396.46107,35314103.683092,201790.34,0,1
161935.52799,434029.72972,86401784.93092,493713.37,0,1
67093.54096,661351.88331,131654537.172541,752294.71,0,1
262518.26741,267366.96988,53224426.4560088,304132.74,0,1
67159.33754,67159.33754,67159.33754,75957.1,1,0
40111.87821,161896.3031,32228505.5693793,184158.74,0,1
158767.16916,158767.16916,158767.16916,158767.17,1,0
2683.74164,220170.57049,43829095.0526985,250446.34,0,1
118767.90435,523854.72685,104283140.865808,595890.25,0,1
94809.08874,280036.60922,55746556.5739461,318544.58,0,1
846182.09362,3059303.50675,609011930.58629,3479989.86,0,1
178064.54952,615320.84274,122491192.371157,699933.92,0,1
13206.1346,229232.7853,45633099.4362613,260754.7,0,1
24633.23065,289735.27949,57677259.3931402,329576.92,0,1
135056.35608,135056.35608,135056.35608,135056.36,1,0
51981.83592,232155.67224,46214955.0822563,264079.51,0,1
305817.48422,463383.86563,92245278.0468524,527104.01,0,1
118641.37245,118641.37245,118641.37245,118641.37,1,0
33775.16056,416296.28368,82871608.8026151,473541.39,0,1
83740.07796,90641.12789,18043822.1199734,103105.23,0,1
6601.16932,137080.86651,27288525.9587678,155930.93,0,1
25397.48334,202774.96463,40366172.3694335,230658.65,0,1
137826.13941,143690.89306,28604376.1258271,163449.9,0,1
168563.26901,168563.26901,168563.26901,168563.27,1,0
73421.40137,434079.07717,86411608.469424,493769.51,0,1
157524.62589,1414490.00822,281580852.896879,1608997.24,0,1
308965.59794,1584624.80345,315449385.350202,1802527.35,0,1
78534.55552,1443740.38798,287403691.398753,1642269.85,0,1
21639.48585,659729.74433,131331619.884436,750449.51,0,1
114225.40908,528008.76919,105110081.161088,600615.52,0,1
55632.28129,55632.28129,55632.28129,55632.28,1,0
150474.26832,239088.35514,47595036.0672766,271965.51,0,1
111479.66681,111479.66681,111479.66681,111479.67,1,0
130243.08253,276653.14616,55073014.5845058,314695.86,0,1
75997.59089,318187.24294,63341158.1045377,361941.33,0,1
66967.00905,237328.29639,47244663.2536875,269963.43,0,1
32705.96599,287081.90551,57149055.3733161,326558.68,0,1
39889.18206,277927.32241,55326663.3435151,316145.25,0,1
100739.63898,100739.63898,100739.63898,100739.64,1,0
95162.11274,130930.15076,26064110.2493979,148934.42,0,1
84.77637,145493.97266,28963313.0491411,165500.92,0,1
396196.69107,396196.69107,396196.69107,396196.69,1,0
119095.62198,154489.12556,30753967.4976,175733,0,1
191761.62789,209991.07899,41802675.7199572,238867.06,0,1
88545.7596,273468.33819,54439018.6288653,311073.11,0,1
50316.67609,514596.38759,102440094.219958,585358.79,0,1
61166.78667,61166.78667,61166.78667,61166.79,1,0
28945.43787,322088.22148,64117721.2884713,366378.73,0,1
28300.12517,365588.62401,72777294.968436,415860.9,0,1
85501.40204,565319.23108,112537430.679225,643056.56,0,1
206157.16236,498312.99714,99198578.9428481,566836.27,0,1
138461.32956,633754.0102,126160661.214921,720901.84,0,1
469705.39945,3659377.25531,728467901.953089,4162580.05,0,1
1283.03348,467298.76268,93024611.9721091,531557.25,0,1
25534.13779,422873.41194,84180909.9459958,481022.95,0,1
145076.12539,637990.88227,127004090.326581,748584.24,0,1
46793.68728,302650.92604,60248361.8753982,355114.34,0,1
65152.97958,286265.04475,56986443.8679947,335888.03,0,1
23395.01866,195965.06634,39010533.971498,229934.89,0,1
178628.97913,878569.39388,174895770.079804,1030866.15,0,1
144625.96381,1252435.88091,249320929.448688,1469541.01,0,1
39131.2073,590900.33168,117629830.11869,693330.72,0,1
116262.1347,205958.65328,40999945.5033655,241660.82,0,1
28208.09754,188627.43268,37549839.9176547,221325.3,0,1
76587.08355,200961.85981,40005239.7374318,235797.86,0,1
118972.83737,224614.80888,44713804.3324113,263550.96,0,1
69363.81527,325979.02879,64892259.6976792,382486.29,0,1
43349.34291,234054.81875,46593015.9317174,274627.36,0,1
28126.5818,166900.44515,33224674.2084419,195832.02,0,1
62175.82992,62175.82992,62175.82992,62175.83,1,0
251993.14915,808834.49947,161013727.131086,949042.97,0,1
35029.87037,223401.80594,44472333.2718689,262127.68,0,1
37435.19315,201469.20407,40106236.1591901,236393.15,0,1
7543.24799,255355.97777,50833412.4631086,299620.99,0,1
40569.29103,167631.65355,33370234.9997666,196689.98,0,1
58058.6765,197686.63019,39353243.6508753,231954.88,0,1
14317.57136,76276.83706,15184339.7343324,89499.14,0,1
80272.32519,324657.74374,64629233.0455736,380935.96,0,1
237578.24556,258067.89709,51373271.0345199,302803.01,0,1
154085.44013,243996.08962,48572012.9654088,286291.91,0,1
1264.10237,426267.72754,84856612.3377376,500159.66,0,1
2081.69312,2081.69312,2081.69312,2081.69,1,0
298474.15663,739476.76747,147206765.457225,867662.33,0,1
282252.52348,822306.49706,163695581.756833,964850.29,0,1
94188.40109,287518.19724,57235907.4519673,337358.41,0,1
7964.2099,249402.89512,49648339.341198,292635.96,0,1
636814.37891,644333.29385,128266666.698094,756026.09,0,1
99939.51936,486266.96542,96800589.6562296,570559.55,0,1
116066.25358,797178.96467,158693473.604458,935366.99,0,1
142375.15594,142375.15594,142375.15594,142375.16,1,0
158267.07616,401501.54106,79926436.8882714,471100.35,0,1
63683.26287,192086.37688,38238407.8483567,225383.84,0,1
873640.73297,3890376.62063,774452672.384445,4564759.02,0,1
54145.92077,130574.83944,25993378.8451829,153209.51,0,1
26649.56517,310714.90148,61853647.928279,364576.18,0,1
198.31442,198.31442,198.31442,198.31,1,0
2182.67531,665186.72459,132417934.490352,780494.38,0,1
101717.04925,414176.63099,82449652.0487131,485972.62,0,1
106594.61074,107159.13768,21332042.7915921,125734.78,0,1
55666.7369,55666.7369,55666.7369,55666.74,1,0
287777.34431,287777.34431,287777.34431,287777.34,1,0
17837.3482,163538.83318,32555482.0896428,191887.69,0,1
62232.96582,248014.69415,49371991.8160453,298584.01,0,1
164808.50407,478266.25593,95207897.8811852,575783.05,0,1
17412.17481,215871.66036,42973316.0978117,259887.12,0,1
52280.97905,207146.85522,41236479.4581723,249383.36,0,1
132183.48855,723897.9482,144105508.331561,871498.17,0,1
41209.43763,249276.97154,49623271.8830681,300103.66,0,1
132826.91076,424150.93866,84435225.679105,510633.81,0,1
111370.53491,111370.53491,111370.53491,111370.53,1,0
24196.1846,201726.90051,40157535.4847011,242858.3,0,1
76080.58159,215854.11248,42969822.8620955,259866,0,1
137842.09441,137842.09441,137842.09441,137842.09,1,0
32732.64251,222873.26384,44367117.0211742,268316.33,0,1
40284.07951,188969.59291,37617953.3499384,227499.82,0,1
22050.664,270477.14836,53843566.0073458,325626.48,0,1
90.07911,90.07911,90.07911,90.08,1,0
43340.91993,304977.44716,60711499.6829792,367161.26,0,1
21951.22602,198284.00677,39472162.700087,238713.41,0,1
13339.89716,225444.61296,44878992.449136,271411.97,0,1
149317.23702,855919.99627,170386981.286979,1030439.04,0,1
59591.42519,348117.15142,69299269.584964,419097,0,1
103359.34349,460625.95871,91696264.7783026,554545.95,0,1
2144.35074,287360.5471,57204524.225064,345952.34,0,1
666.81938,5149.71738,1025148.14782117,6199.73,0,1
64234.59381,188843.24819,37592802.0559668,227347.72,0,1
13744.66822,415495.15518,82712129.099684,500213.14,0,1
278483.66035,943201.97358,187762101.27415,1135517.5,0,1
116385.71856,736408.41564,146595952.287632,886559.47,0,1
69336.34699,269716.7403,53692192.4742418,324711.02,0,1
15908.90656,129151.21517,25709979.6455973,155484.69,0,1
165291.65566,1213440.47079,241558159.279338,1460856.67,0,1
64576.19251,274238.24364,54592282.7961632,330154.45,0,1
4591.69485,181324.56722,36096067.1282621,218296,0,1
17650.82595,646362.06256,128670531.285594,778152.99,0,1
44830.14988,371090.83382,73872613.367374,446754.94,0,1
17781.85011,316212.76877,62948101.8668969,380687.43,0,1
154008.36985,244865.43491,48745072.5040394,294792.63,0,1
111737.8705,883435.0696,175864374.390329,1063564.34,0,1
82462.16004,444035.02461,88393527.1505461,534572.19,0,1
34393.84166,87630.59515,17444518.9282386,105498.16,0,1
1807.43148,260137.93841,51785351.7116757,313179.14,0,1
104167.71576,344728.07117,68624609.3881544,415016.9,0,1
228579.8339,228579.8339,228579.8339,228579.83,1,0
42354.72916,292946.62173,58316537.4945252,352677.4,0,1
57250.53821,414435.26332,82501137.6807394,498937.14,0,1
259389.22893,476002.57962,94757270.515599,573057.81,0,1
132866.68595,293780.73088,58482582.6164428,353681.58,0,1
1788.71374,305922.69287,60899668.6284452,368299.24,0,1
16113.63181,289035.78456,57538011.7647782,347969.15,0,1
39768.17189,347660.90658,69208445.4643054,418547.73,0,1
75899.25351,1307075.94994,260198063.362962,1573584.09,0,1
46897.28995,233513.12744,46485182.0833408,281125.62,0,1
556250.1974,1214302.65655,241729793.5788,1461894.65,0,1
73429.68209,464156.59184,92399103.7395071,558796.47,0,1
3470.97035,1303230.62485,259432579.045494,1568954.72,0,1
49415.99543,263126.92703,52380366.1409241,316777.57,0,1
48590.07529,227925.88296,45372935.9332237,274399.16,0,1
84643.94625,516663.35359,102851562.696798,622009.17,0,1
50016.13287,197516.57955,39319391.871104,237789.51,0,1
230501.91151,1614623.57635,321421205.589266,1943839.58,0,1
195014.25209,909781.45423,181109118.016479,1095282.66,0,1
96148.33533,977834.46639,194656350.654997,1177211.44,0,1
16769.92246,120963.3751,24080036.0073279,145627.38,0,1
90790.38312,405415.65383,80705614.6878361,488078.46,0,1
90898.01011,286029.24806,56939504.0998135,344349.6,0,1
31574.48253,363909.07212,72442948.5602448,438108.84,0,1
169127.62188,2433707.06629,484475187.130849,2929931.29,0,1
37836.73541,72807.31734,14493666.5473726,87652.47,0,1
8001.83255,265836.31946,52919721.6873318,320039.4,0,1
556485.33897,3556601.65439,708008484.639523,4281780.09,0,1
17501.75898,234423.90733,321868446.40537,305321.36,0,1
207415.92269,384444.76928,527849919.516247,500713.44,0,1
72877.68883,211396.81638,290251816.200166,275330.12,0,1
123141.11181,416065.82118,571266220.202803,541897.73,0,1
982996.15232,1039147.11347,1426768586.9103,1353419.17,0,1
10428.61414,130005.03194,178499360.973894,169322.8,0,1
36725.68474,175811.74374,241392840.269287,228982.96,0,1
72630.21875,304956.25472,418710689.734184,397185,0,1
65838.28992,204088.57498,280217462.911864,265811.63,0,1
49057.56877,554773.92589,761715064.244947,722555.7,0,1
51638.00678,276984.26163,380304615.621334,360753.36,0,1
740.16051,211896.256,290937556.218723,275980.61,0,1
195584.60314,509133.69395,699050164.937432,663112.37,0,1
32835.90502,307050.75149,421586473.305234,399912.94,0,1
70158.89254,367378.33267,504417380.148137,478485.55,0,1
21662.63091,228310.27149,313474309.08328,297358.76,0,1
45627.85843,940503.28986,1291328756.50025,1224942.23,0,1
9707.57632,274508.43597,376905260.29179,357528.76,0,1
28382.56845,55446.79629,76129497.1288684,72215.72,0,1
62453.57414,300302.69235,412321260.825921,391124.04,0,1
19336.41216,186495.70202,256062116.505702,242898.1,0,1
84787.74886,228238.28019,313375463.670499,297265,0,1
68.6167,343523.34182,471664027.764605,447416.03,0,1
4205.8665,172797.10822,237253688.839075,225056.6,0,1
54366.92685,325588.51021,447039165.68206,424057.12,0,1
53122.82726,267980.85018,367942761.880536,349027.02,0,1
2269.97555,1115929.20525,1532191847.16759,1453422.68,0,1
20698.62246,242853.63814,333442625.806837,316300.52,0,1
74413.12819,405600.08653,556896569.126454,528266.81,0,1
6521.96147,222296.74854,305217628.647462,289526.55,0,1
40221.76205,273177.72186,375078164.719185,355795.6,0,1
11078.78554,139696.86016,191806423.924636,181945.76,0,1
10878.55974,180495.67744,247823969.586497,235083.47,0,1
40129.5232,583903.40403,801710387.163622,760494.88,0,1
303758.27456,423386.4361,581317562.567451,551432.34,0,1
14599.60986,305254.34368,419119971.498739,397573.24,0,1
33277.97658,315140.77338,432694225.952042,410449.65,0,1
98236.62285,810591.62163,1112957585.66118,1055741.03,0,1
13533.23878,263635.50054,361976514.863988,343367.5,0,1
109136.55501,316247.63955,434213974.080867,411891.26,0,1
20856.10342,236058.33472,324112546.039974,307450.09,0,1
9613.08774,188766.80243,259180380.205523,245856.05,0,1
8163.13805,397882.39462,546300032.564976,518215.04,0,1
24599.65082,234683.75091,322225216.541811,305659.79,0,1
13300.39194,331490.67162,455142944.622986,431744.29,0,1
1269.97146,370560.57293,508786656.047685,482630.21,0,1
181870.26125,320099.17389,439502203.376301,416907.63,0,1
39474.85235,280381.35091,384968883.277766,365177.84,0,1
21483.77754,164583.3513,225976045.662221,214358.74,0,1
37272.36864,196655.47366,270011674.598328,256130.52,0,1
53726.87923,209556.53888,287725080.481842,272933.29,0,1
85777.62918,260322.77606,357428081.669222,339052.89,0,1
4255.36051,147180.58035,202081712.901442,191692.8,0,1
26796.51021,185224.6057,254316877.283262,241242.58,0,1
365050.98906,390842.99571,536634805.086279,509046.7,0,1
2308.22093,372607.82541,511597572.317456,485296.61,0,1
47375.89709,199620.61517,274082869.819267,259992.42,0,1
38927.04358,200070.56077,274700653.614821,260578.44,0,1
122528.06093,291505.13101,400242043.168843,379665.81,0,1
6766.05696,177352.80742,243508749.76906,230990.09,0,1
415.07482,187653.18707,257651365.311526,244405.65,0,1
172530.51546,1971902.3401,2707459106.45385,2568270.08,0,1
20209.30662,122646.17165,168395506.994862,159738.38,0,1
15754.84518,180548.54605,247896559.18522,235152.33,0,1
18664.86835,219816.42342,301812095.474471,286296.1,0,1
20872.97638,190446.22438,261486258.219682,248043.39,0,1
107135.42195,345651.58451,474586145.120322,450187.92,0,1
5432.8768,490260.0768,18782912908.4055,681591.46,0,1
31364.2368,210758.4128,8074605907.49082,293010.06,0,1
12567.1104,249575.9552,9561789042.97378,346976.73,0,1
160.0768,176420.8576,6759060670.7281,245271.76,0,1
18827.4112,86997.4144,3333057157.33055,120949.47,0,1
75.712,239588.4608,9179146755.00116,333091.47,0,1
2985.216,274025.5232,10498504325.5838,380968.11,0,1
3784.5184,368251.2704,14108494384.2054,511966.88,0,1
13900.7232,306862.8992,11756574486.1696,426620.77,0,1
18228.2048,102160.3648,3913982242.35203,142029.99,0,1
45884.7168,176984.3712,6780650082.90416,246055.19,0,1
801.4656,176451.1424,6760220946.23852,245313.86,0,1
52831.8336,199339.9616,7637140601.65077,277135.39,0,1
66595.1936,636064.0832,24368976476.5084,884297.68,0,1
214.1568,200822.8352,7693952663.25035,279196.97,0,1
7819.968,282335.456,10816875637.9613,392521.12,0,1
20083.1488,300987.648,11531481037.1478,418452.61,0,1
13903.968,1382566.016,52969063355.4138,1922133.24,0,1
1468.8128,214378.528,8213300269.3973,298042.98,0,1
1195.168,178338.5344,6832530973.58444,247937.84,0,1
20689.9264,214670.56,8224488640.39065,298448.98,0,1
7045.5424,207110.176,7934834146.8961,287938.04,0,1
48855.872,468183.5392,17937113499.7192,650899.22,0,1
50557.2288,317339.2768,12157946935.9533,441185.71,0,1
49726.56,446308.1792,17099021635.495,620486.67,0,1
12224.2432,397456.6336,15227414360.3627,552570.08,0,1
3791.008,176527.936,6763163073.42566,245420.62,0,1
68593.9904,92117.7088,3529226595.41399,128068.03,0,1
6684.288,177683.0848,6807419296.46603,247026.59,0,1
38196.704,463593.2288,17761248883.0682,644517.47,0,1
54377.44,378031.0976,14483180497.2494,525563.43,0,1
1125.9456,187763.5968,7193625287.7921,261041.17,0,1
27957.1968,227085.1648,8700118722.84136,315708.57,0,1
53230.944,220079.6416,8431722134.23418,305969.04,0,1
4155.5072,291873.0048,11182279546.922,405780.84,0,1
62552.1728,195593.2992,7493597945.64718,271926.53,0,1
35706.8608,207453.0432,7947970123.21052,288414.72,0,1
49612.992,772831.3216,29608822119.9837,1074440.39,0,1
8135.7952,261317.8048,10011644433.7287,363301.02,0,1
8552.2112,190173.4016,7285950067.69279,264391.44,0,1
14492.3584,204877.7536,7849305266.41359,284834.38,0,1
131.9552,313562.3296,12013244004.4393,435934.75,0,1
271.4816,329067.0656,12607263627.3641,457490.45,0,1
426.1504,176700.992,6769793219.1995,245661.22,0,1
6064.5312,272697.3184,10447617956.7696,379121.56,0,1
20620.704,20887.8592,800258594.902251,29039.66,0,1
769.0176,1341259.712,51386530436.0208,1864706.53,0,1
16441.4016,344540.4352,13200081536.3674,479002.53,0,1
6669.1456,973037.6448,37279154888.9148,1352780.25,0,1
13614.0992,371532.8448,14234218523.4418,516529.14,0,1
